title,subtitle,link
ABUSE CLAIMS, Antony accuser brands him a ‘liar’ after he shared WhatsApp texts on Instagram,https://www.thesun.co.uk/sport/23902359/antony-ingrid-lana-liar-messages-instagram/
, Luis Rubiales says he kissed footy star ‘like his daughter’ in Piers interview,https://www.thesun.co.uk/sport/23905416/luis-rubiales-jenni-hermoso-piers-morgan/
RED DEVILS BOOST, Man Utd 'in advanced talks with tech company over new shirt sponsorship',https://www.thesun.co.uk/sport/23909725/man-utd-shirt-sponsorship-deal-qualcomm-teamviewer/
, Mason Greenwood to debut for new club in just days after impressing coaches,https://www.thesun.co.uk/sport/23903491/exact-date-mason-greenwood-debut-new-club-getafe/
ROLEX, Win an incredible Rolex or £14k cash alternative from just 89p with our discount code,https://www.thesun.co.uk/sport/18922011/win-rolex-7dp/
FREE AND EASY, All the best free bets & sign up offers for punters right here,https://www.thesun.co.uk/betting/20812234/free-bets/
TOP BONUS, Get £20 in free bets when you stake £5 on football with Ladbrokes,https://www.thesun.co.uk/sport/22580085/ladbrokes-free-bets-new-customer-bonus-football/
POWER UP, Get £40 in free Bet Builder bets when you stake £10 on football with Paddy Power,https://www.thesun.co.uk/sport/football/19782139/paddy-power-free-bets-football/
RAS RISK, Six players Souness believes are holding Man Utd back including 'gamble' Hojlund,https://www.thesun.co.uk/sport/23894297/six-players-man-utd-souness-gamble-hojlund/
'TOTAL JOKE', Fury as stream for England U21s' CRASHES as fans miss TWO goals due to blunder,https://www.thesun.co.uk/sport/23909278/england-u21s-match-stream-crash-fan-anger/
CLIFFE HANGER, Ratcliffe gives rare update on Utd bid amid fears of 'excruciating' failure,https://www.thesun.co.uk/sport/23907226/sir-jim-ratcliffe-update-man-utd-takeover/
'DISGRACE', Fans slam decision for game to be replayed in FULL after 96TH MINUTE abandonment,https://www.thesun.co.uk/sport/23909242/scunthorpe-buxton-abandoned-rain/
AULD MONEY," Scotland vs England: Betting preview, tips & preview for huge Hampden clash",https://www.thesun.co.uk/sport/23896067/scotland-england-betting-preview-tips-predictions/
CAM-ERA READY, Man Utd star's gorgeous Wag leaves fans stunned in elegant holiday outfit,https://www.thesun.co.uk/sport/23904456/man-utd-scott-mctominay-cam-reading-girlfriend/
